device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-01;2024-03;temperature;44.70;24.65;0.00
sirrosteste_UCS_AMV-01;2024-03;humidity;97.60;73.67;0.00
sirrosteste_UCS_AMV-01;2024-03;luminosity;27306.20;4579.49;0.00
sirrosteste_UCS_AMV-01;2024-03;noise;120.00;102.23;0.00
sirrosteste_UCS_AMV-01;2024-03;eco2;170.00;1.51;0.00
sirrosteste_UCS_AMV-01;2024-03;etvoc;1481.00;410.56;400.00
sirrosteste_UCS_AMV-21;2024-03;temperature;53.60;32.38;14.10
sirrosteste_UCS_AMV-21;2024-03;humidity;93.10;51.78;18.30
sirrosteste_UCS_AMV-21;2024-03;luminosity;25019.10;2889.19;-1.00
sirrosteste_UCS_AMV-21;2024-03;noise;110.70;83.56;61.00
sirrosteste_UCS_AMV-21;2024-03;eco2;20.00;19.28;0.00
sirrosteste_UCS_AMV-21;2024-03;etvoc;445.00;403.70;400.00
sirrosteste_UCS_AMV-17;2024-03;temperature;46.70;27.76;19.50
sirrosteste_UCS_AMV-17;2024-03;humidity;86.70;67.40;29.20
sirrosteste_UCS_AMV-17;2024-03;luminosity;13220.80;1869.28;0.00
sirrosteste_UCS_AMV-17;2024-03;noise;110.40;77.47;56.90
sirrosteste_UCS_AMV-17;2024-03;eco2;1506.00;49.38;0.00
sirrosteste_UCS_AMV-17;2024-03;etvoc;2370.00;640.35;400.00
sirrosteste_UCS_AMV-12;2024-03;temperature;26.60;26.25;25.90
sirrosteste_UCS_AMV-12;2024-03;humidity;68.50;67.18;65.40
sirrosteste_UCS_AMV-12;2024-03;luminosity;53.40;31.86;9.00
sirrosteste_UCS_AMV-12;2024-03;noise;97.00;67.30;54.80
sirrosteste_UCS_AMV-12;2024-03;eco2;142.00;56.85;8.00
sirrosteste_UCS_AMV-12;2024-03;etvoc;1337.00;779.15;456.00
sirrosteste_UCS_AMV-13;2024-03;temperature;36.00;26.09;24.20
sirrosteste_UCS_AMV-13;2024-03;humidity;68.30;63.15;38.20
sirrosteste_UCS_AMV-13;2024-03;luminosity;2202.90;64.66;0.00
sirrosteste_UCS_AMV-13;2024-03;noise;99.80;58.30;42.00
sirrosteste_UCS_AMV-13;2024-03;eco2;20.00;15.69;0.00
sirrosteste_UCS_AMV-13;2024-03;etvoc;403.00;402.40;400.00
sirrosteste_UCS_AMV-16;2024-03;temperature;29.40;26.61;24.50
sirrosteste_UCS_AMV-16;2024-03;humidity;72.50;64.71;54.00
sirrosteste_UCS_AMV-16;2024-03;luminosity;8185.40;383.54;0.00
sirrosteste_UCS_AMV-16;2024-03;noise;97.20;63.72;46.30
sirrosteste_UCS_AMV-16;2024-03;eco2;302.00;50.69;0.00
sirrosteste_UCS_AMV-16;2024-03;etvoc;1664.00;721.01;400.00
sirrosteste_UCS_AMV-11;2024-03;temperature;29.00;27.18;25.90
sirrosteste_UCS_AMV-11;2024-03;humidity;71.80;66.25;53.30
sirrosteste_UCS_AMV-11;2024-03;luminosity;848.50;110.18;0.00
sirrosteste_UCS_AMV-11;2024-03;noise;96.90;57.47;42.00
sirrosteste_UCS_AMV-11;2024-03;eco2;460.00;18.45;0.00
sirrosteste_UCS_AMV-11;2024-03;etvoc;1809.00;522.37;400.00
sirrosteste_UCS_AMV-22;2024-03;temperature;35.60;27.22;22.80
sirrosteste_UCS_AMV-22;2024-03;humidity;89.30;72.67;37.40
sirrosteste_UCS_AMV-22;2024-03;luminosity;415.70;15.73;0.00
sirrosteste_UCS_AMV-22;2024-03;noise;120.00;74.15;49.30
sirrosteste_UCS_AMV-22;2024-03;eco2;5326.00;285.77;0.00
sirrosteste_UCS_AMV-22;2024-03;etvoc;4160.00;945.57;400.00
sirrosteste_UCS_AMV-05;2024-03;temperature;30.40;26.76;23.70
sirrosteste_UCS_AMV-05;2024-03;humidity;70.20;61.70;50.10
sirrosteste_UCS_AMV-05;2024-03;luminosity;91.60;3.56;0.00
